Sl No.,CWE,Adversary Model ,Assets,Attack Surfaces,Vulnerabilities,Threats,,,
1,CWE-1420: Exposure of Sensitive Information during Transient Execution,"Software Side Channel:
1. The attacker is a Software Side Channel Adversary, meaning they don’t require physical access but can exploit speculative execution behavior to leak sensitive data through timing variations.
2. This adversary observes execution patterns and leverages CPU-level optimizations, such as speculative execution, branch prediction, or cache behavior, to extract secrets from privileged processes.","Cache
1. The primary asset at risk is the CPU cache, which stores frequently accessed data for efficiency.
2. In transient execution attacks, data is speculatively loaded into the cache, even if the access is later determined to be unauthorized. Attackers can infer the presence of sensitive information by measuring cache access times.
3. Example: A secret cryptographic key temporarily loaded into the cache could be inferred by an attacker measuring memory access latencies.","Cache memory:
1. The cache memory acts as the attack surface because transient execution leaks information through cache-based timing differences.
2. Attackers manipulate speculative execution mechanisms to create observable changes in cache states that can be analyzed.
3. Example: If a speculative load brings sensitive data into the cache, an attacker can time subsequent accesses to determine which data was cached, thereby inferring secret values.","Cache Side Channel:
1. The vulnerability lies in how transient instructions affect the cache state before being discarded. Even though speculative execution results are invalidated, cache modifications persist, creating a side-channel leakage.
2. Example: In Spectre-type attacks (CVE-2017-5753), an attacker can train the CPU’s branch predictor to speculatively execute instructions that load unauthorized data into the cache. The attacker then measures access times to infer data values.","The adversary exploits speculative execution and branch misprediction to extract secrets via cache-based side channels.
Example:
1. In CVE-2022-0002, attackers use speculative execution to access privileged memory that should be inaccessible, leaking information through cache timing.
2. In CVE-2021-0089, attackers leverage transient execution to access data across security",,,
2,CWE-1323: Improper Management of Sensitive Trace Data,"Simple Hardware Adversary:
1. The attacker in this scenario has physical access to the device but does not require sophisticated tools or deep technical expertise. 
The adversary can exploit debugging interfaces or scan chains to extract sensitive trace data from the hardware.
Example: A technician or an attacker with physical access to a chip might connect to debug ports using a JTAG interface to extract secret keys, firmware, or execution traces from an embedded system.","Debug Ports:
1. Debug ports such as JTAG, UART, or SWD, are intended for chip-level debugging and testing but may expose sensitive trace data if not properly secured. If access control is missing or weak, adversaries can retrieve confidential execution information or even manipulate device behavior.
Example: A production system might leave debugging features enabled, allowing an attacker to bypass authentication and gain access to internal state information or cryptographic secrets.","Debug Ports:
1. Debug ports serve as an entry point for adversaries to exploit the system. If proper access restrictions are not in place, attackers can leverage scan-based techniques to retrieve internal signals or manipulate hardware states.
Example: A device left in an unsecured state may allow attackers to interface with JTAG ports to read sensitive registers or modify execution flow.","Security-Sensitive Trace Data Can Be Accessed by External Links:
1. Sensitive trace data generated during debugging or testing should be protected, but improper management can lead to leakage. Debug interfaces may allow unintended data access or system control.
2. CAPEC-150 (Collecting Data via Debug Interfaces): An adversary collects data through debug ports left open in a deployed system.
3. CAPEC-167 (Accessing Debugging and Test Interfaces): Attackers exploit insufficiently protected debugging interfaces to extract sensitive information.
4. CAPEC-545 (Scan Chain Manipulation and Eavesdropping): Attackers exploit boundary scan (JTAG or similar) to manipulate or observe hardware internals.","Scan-Based Side-Channel Attack:
1. The attacker leverages scan-based testing mechanisms to observe and infer sensitive information from the hardware.
Example: An attacker uses JTAG scanning to extract cryptographic keys from a chip.
Example: Boundary scan techniques reveal internal processor states, allowing adversaries to reconstruct execution traces.
",,,
3,CWE-1342: Information Exposure through Microarchitectural State after Transient Execution,"Software Side-Channel Adversary:
1. The attacker operates in a privileged or unprivileged software environment and relies on side-channel techniques to infer sensitive data from microarchitectural state changes. This adversary does not require direct access to the data but exploits transient execution behavior to leak information.
Example: Malicious code running in a user-mode process can manipulate speculative execution to leak secret cryptographic keys from another process.",,"Cache:
1. Caches act as a primary attack surface in transient execution attacks, as speculative instructions modify cache states before they are discarded. Attackers use cache-timing measurements to infer secret data processed during speculative execution.
Example: The attacker executes a controlled sequence of operations and measures the time taken to access specific cache lines, revealing data-dependent execution patterns.","Cache Side Channel:
1. The cache can be used as a covert channel to extract information left behind by transient execution. This occurs when speculative instructions operate on secret data and leave measurable microarchitectural traces before rollback.
2. CAPEC-696 (Exploitation of Transient Execution): The attacker leverages transient execution to execute instructions that should not have occurred, leading to cache-based leakage.
3. CVE-2020-0551 (Load Value Injection - LVI): This vulnerability exploits speculative execution flaws, allowing attackers to inject values into transiently executed instructions, causing information leakage.","Load Value Injection (LVI):
1. LVI attacks exploit the inability of a CPU to correctly handle speculative execution when interacting with untrusted memory locations. Attackers inject malicious values into transient execution paths, allowing sensitive data to be inferred.
Example: An adversary manipulates memory accesses so that a speculative instruction loads attacker-controlled values, which then influence subsequent execution, leaking data through a side channel.",,,
4,CWE-1283: Mutable Attestation or Measurement Reporting Data,"System Software Adversary
1. The attacker has privileged control over the operating system or hypervisor.
2. This adversary can manipulate low-level system software to tamper with attestation reports before they are sent to a verifier.
Example: If a system relies on Trusted Platform Module (TPM)-based attestation, a compromised OS could alter or suppress certain measurement reports to make an unauthorized modification undetectable.","Attestation Data, Integrity of Measurement Reports
1. The primary asset at risk is the integrity of attestation and measurement data used for remote verification of a device’s trustworthiness.
2. If this data is compromised, an attacker can make an untrusted or malicious system appear to be in a secure state.
Example: A cloud provider verifying the integrity of a virtual machine’s boot process may receive tampered measurement data, falsely indicating a secure boot when, in reality, malicious firmware is present.","Memory Access and Reporting Interfaces, Registers
1. Attackers exploit memory access and register-based reporting mechanisms to modify or falsify measurement data.
2. Security-sensitive components, such as TPM logs, firmware registers, or attestation reports, become attack vectors.
Example: If an attestation report is stored in system memory before being sent to a remote verifier, a compromised OS can alter the data before transmission, thus forging a valid integrity check.","Mutable Measurement and Reporting Data
1. The core weakness lies in the ability to modify security-sensitive measurement data before it is validated.
2. This includes:
a. Lack of write protections for attestation registers.
b. Absence of cryptographic integrity checks for measurement reports.
Example: If a secure boot log is stored in writable memory instead of an immutable register, an attacker could alter the history of executed firmware components.","Manipulation of Measurement Reporting, Exploitation of Controlled Registers
1. The attacker modifies attestation data to deceive security mechanisms into trusting a compromised system.
2. Exploiting controlled registers allows attackers to manipulate reported device states.
Example: In CAPEC-680, adversaries modify reported device identifiers to misrepresent hardware state or identity, bypassing security policies that rely on these identifiers.
",,,
5,CWE-1297: Unprotected Confidential Information on Device is Accessible by OSAT Vendors,"Insider Adversary
1. The primary adversary in this scenario is an insider within the OSAT supply chain who has direct access to the hardware during manufacturing, testing, or packaging.
2. OSAT vendors handle unprotected devices at various production stages, meaning employees or subcontractors can physically access the hardware.
3. If the device lacks proper security mechanisms (such as encryption or access controls), an insider can extract sensitive information or insert malicious modifications.
Example:
Suppose a cryptographic key is stored in on-chip memory during testing. If access to this memory is not properly restricted, an OSAT insider could extract it using debugging tools and later use it to decrypt protected data.

","Confidential Data (e.g., keys or IP)
1. The targeted assets include confidential information stored on the device, which could be cryptographic keys, firmware, intellectual property (IP), or security configurations.
2. Cryptographic keys are essential for secure boot, authentication, and encrypted communication.
3. If an attacker gains access, they can clone the device, decrypt sensitive communications, or forge authentication credentials.
Example:
If a device’s firmware contains proprietary machine learning models for AI acceleration and this firmware is left unencrypted, an OSAT insider could copy the firmware and sell it to competitors.","Debug Interfaces, Testing Interfaces
1. Attackers exploit testing/debug interfaces that remain active or insufficiently protected after manufacturing.
2. These interfaces (e.g., JTAG, UART, SPI) provide direct low-level access to device memory, registers, and firmware.
3. If left unprotected, an adversary can extract, modify, or disable security features.
Example:
A JTAG debug interface is left open on a chip sent to OSAT. An insider connects a debugger, dumps the memory, and extracts the private keys used for secure boot.","Insecure On-Chip Storage
1. The main vulnerability arises when confidential data is stored in an insecure manner (e.g., plaintext storage, lack of access controls).
2. If sensitive information (such as keys or firmware) is stored in unencrypted or non-volatile memory, it can be read, extracted, or modified by an insider adversary.
3. Devices that do not implement strict security policies allow unauthorized users to access protected memory regions.
Example:
A chip uses an eFuse to store cryptographic keys for authentication. However, due to a design flaw, these keys can be read back using a test mode that was not properly disabled after production.","Exploiting Incorrectly Configured Access Control Security Levels, Accessing Functionality Not Properly Constrained 
The insider adversary can exploit weak access control mechanisms to gain unauthorized access to confidential information.
1. CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels
Access control mechanisms (e.g., secure boot, privilege levels) may be misconfigured, allowing unintended access.
Example: The chip’s secure boot mechanism checks cryptographic signatures, but a misconfigured setting allows an OSAT insider to bypass the verification process and install a modified bootloader.
2. CAPEC-1: Accessing Functionality Not Properly Constrained
Attackers search for hidden features, debug modes, or factory test commands that were not disabled before deployment.
Example: An insider finds a manufacturer’s test command that allows them to dump memory contents, revealing firmware encryption keys.
",,,
6,CWE-1221: Incorrect Register Defaults or Module Parameters,"System Software Adversary
1. The system software adversary has full control over the operating system or hypervisor and can interact with hardware components through register interfaces.
2. The adversary can write or modify register values that define system behavior, including security policies, access control, or performance settings.
3. If registers have incorrect default values, a privileged attacker may escalate privileges or disable security mechanisms.
Example:
If a hardware security module has a register controlling access control enforcement, but its default setting disables security checks, a system software adversary could exploit this to access restricted resources.",,"Register Interfaces
1. The attack surface consists of register interfaces that system software or firmware can access.
2. Certain registers store security-sensitive configurations, such as privilege levels, debugging permissions, and memory access controls.
3. If these registers have insecure default values, an attacker can directly modify system behavior without needing an exploit.
Example:
An I/O device register that controls Direct Memory Access (DMA) operations might have default settings allowing unrestricted memory access. If an attacker exploits this, they could read or overwrite sensitive data.","Incorrect Register Defaults or IP Parameters
1. The vulnerability arises when register values or module parameters are initialized with insecure defaults.
2. Security mechanisms rely on correct initialization. If registers default to insecure values, they may grant excessive permissions or disable protections.
3. Even if protections exist, a system reset might revert them to their insecure defaults, allowing an attacker to exploit the weakness.
Example:
If a register controlling secure boot verification is set by default to “disabled”, an attacker could load unauthorized firmware.","Unauthorized Access or Control via Default Settings
An adversary may exploit incorrect register defaults to gain unauthorized control over hardware settings.
1. CAPEC-166: Force the System to Reset Values
Attackers manipulate system states to revert security settings to a vulnerable default.
Example: A system software adversary triggers a peripheral reset that restores an access control register to an insecure default, allowing privilege escalation.
2. Example of Unauthorized Access:
a. A default register configuration grants debug mode access after reset.
b. An attacker forces a system reboot and exploits this to disable security protections.",,,
7,CWE-1312: Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,"System Software Adversary
1. The system software adversary has full control over the operating system or hypervisor and interacts with hardware through low-level memory access.
2. The adversary can access mirrored regions in the on-chip fabric firewall, exploiting insecure memory mappings.
Example:
1. If an on-chip firewall fails to restrict access to mirrored memory regions, an attacker could bypass access controls by writing to a mirrored region that lacks protection but affects the actual memory.
2. This could lead to modification of security-sensitive structures, such as page tables, firmware settings, or cryptographic keys.","Protected Memory Regions
1. These memory regions contain critical system configurations, security keys, firmware, or kernel-level data.
2. Mirrored memory regions should be equally protected to prevent unauthorized read/write access.
Example:
If a trusted execution environment (TEE) memory has a mirrored counterpart that lacks protection, an attacker could alter security policies, inject malicious code, or escalate privileges by modifying the mirrored region.","On-Chip Fabric Access Interfaces
1. The on-chip fabric firewall is supposed to enforce memory access control policies.
2. If mirrored regions are left unprotected, adversaries can circumvent these protections.
Example:
A processor’s memory-mapped I/O (MMIO) configuration may have mirrored regions that attackers can manipulate to disable security checks or reconfigure access permissions.","Inadequate Protection in Mirrored Regions
1. The root cause of this vulnerability is that memory protection mechanisms do not extend to mirrored regions.
2. Attackers can leverage the mirrored memory regions to modify or extract data that should be protected.
Example:
If an IOMMU (I/O Memory Management Unit) has mirrored registers that do not enforce write protection, an attacker could modify DMA access controls and redirect memory access to steal data.","Unauthorized Memory Access
1. Attackers can bypass access control and gain read/write access to security-critical memory.
2. This leads to data leakage, privilege escalation, or system compromise.
Example (CAPEC-679 - Exploitation of Improperly Configured Memory Protections):
If mirrored memory lacks write protection, an attacker could overwrite security policies or alter firmware behavior.
Example (CAPEC-456 - Infected Memory):
Attackers could inject malicious data into mirrored regions, which then affects the actual protected memory, leading to malware persistence or rootkit installation.",,,
8,CWE-1314: Missing Write Protection for Parametric Data Values,"System Software Adversary
The attacker is a system software adversary who has full control over the operating system or hypervisor. They can manipulate low-level memory mappings and hardware registers to modify parametric data.
Example:
1. The adversary may exploit the system’s lack of write protection on calibration registers or hardware control parameters to alter chip behavior, degrade performance, or cause unintended system states.","Parametric Data
Parametric data refers to configuration registers, firmware variables, and tuning parameters that control hardware operation. These parameters are critical because they dictate the behavior of processors, memory controllers, and peripheral devices.
Example:
1. If an adversary gains write access to clock frequency settings, they could overclock or underclock the system, causing instability or hardware failures.
2. Unprotected voltage regulation settings could be modified, leading to excessive power consumption or even permanent hardware damage.","Parametric Registers or Memory
The primary attack surface consists of memory-mapped parametric registers or firmware-controlled configuration memory where system parameters are stored.
Example:
1. If a memory-mapped I/O (MMIO) region lacks proper access controls, attackers can modify parametric values directly, bypassing intended hardware constraints.
2. CAPEC-1 describes how attackers access system functionalities that are not properly constrained by ACLs, which aligns with the issue in CVE-2017-8252, where lack of access control allowed unauthorized memory writes to hardware performance settings.","Unprotected Write Access to Parameters
The core vulnerability is the absence of write protections on parametric data registers or memory regions. Without enforcement mechanisms, adversaries can alter system behavior, leading to performance degradation or security bypasses.
Example:
1. A system may store thermal limit values in unprotected memory. An attacker could raise the thermal limits, preventing the CPU from throttling under high load, causing overheating and possible hardware failure.
2. In CVE-2017-8252, the vulnerability allowed unauthorized modification of power control parameters, which could be used to manipulate power management mechanisms to favor performance over stability.","Unauthorized Alteration of Parametric Data
1. Attackers exploit unprotected parametric data to alter system functionality, degrade security, or cause instability.
2. This can lead to unexpected behavior, privilege escalation, or even hardware damage.
Example:
1. Attackers could increase the memory controller's refresh interval, leading to data corruption over time.
2. In CAPEC-1, attackers access functionality that should have been restricted, aligning with how CVE-2017-8252 allowed unauthorized modification of power and performance parameters, potentially leading to unexpected power consumption behaviors.",,,
9,10,"System Software Adversary
The System Software Adversary is an attacker who has full control over the operating system (OS) or hypervisor and can manipulate system-level resources. This adversary can access debugging mechanisms, system logs, and memory contents that contain residual debug information left behind due to improper clearing mechanisms.
Example:
1. In CVE-2022-31162, the improper removal of debugging features in the GitHub Enterprise Server allowed unauthorized access to sensitive system details.
2. In CVE-2021-33080, the Intel AMT firmware failed to clear sensitive debug data, leading to potential leakage of system credentials or privileged information.","Confidential Debug Information
The main asset at risk is confidential debug information, which may include:
1.System logs, memory dumps, or error messages containing sensitive user credentials, cryptographic keys, or hardware configuration details.
2. Embedded debugging structures left in production software or firmware.
Example:
1. CAPEC-37 (Retrieve Embedded Sensitive Data) explains how attackers extract sensitive information left within system resources, such as debug logs or firmware dumps.
2. CAPEC-545 (Pull Data from System Resources) describes how adversaries systematically analyze logs, memory, and debugging interfaces to find useful intelligence about system operations.","Debug Interfaces
The primary attack surface consists of debug interfaces and logs where sensitive information may be exposed. These interfaces include:
1. Serial debug ports, JTAG, UART, or system logs that retain debugging messages.
2. Memory dumps containing sensitive variables or state information.
Example:
1. In CAPEC-150 (Collect Data from Common Resource Locations), adversaries search common storage locations, such as logs or caches, for sensitive debugging remnants.
2. CAPEC-204 (Lifting Sensitive Data Embedded in Cache) describes how attackers retrieve data from CPU cache or temporary memory that was not properly cleared.
If a system does not disable or restrict debug interfaces in a production environment, adversaries can access residual debug data that may include security-critical information.","Uncleared Debug Information
The key vulnerability is failure to clear debug data, leaving residual traces of sensitive information that an attacker can later extract.
Example:
1. CVE-2022-31162 exposed debugging features that were not properly removed from production code, allowing attackers to access system internals.
2. CVE-2021-33080 showed how debug logs and memory dumps could reveal security-sensitive data, making it accessible to unauthorized entities.
This aligns with CAPEC-37, where embedded debug data remains accessible, leading to information disclosure attacks.","Exploitation of Debug Interfaces
If debug data is left uncleared, adversaries can exploit this to retrieve sensitive system information and use it for further attacks.

Potential exploitation scenarios include:
1. Extracting cryptographic keys from memory dumps left behind by debug logs.
2. Accessing system crash dumps containing sensitive memory snapshots.
3. Reverse-engineering firmware using embedded debug symbols to identify system vulnerabilities.
Example:
1. CAPEC-545 describes how adversaries pull data from system resources that should have been cleared, a common issue in CVE-2022-31162.
2. CAPEC-204 shows how attackers retrieve uncleared cache data, a risk present in CVE-2021-33080.
If an attacker successfully exploits uncleared debug information, they can extract privileged system details, bypass security controls, and launch further attacks.",,,
10,CWE-1240: Use of a Cryptographic Primitive with a Risky Implementation,"Software Side Channel Adversary
A software side-channel adversary is one that does not directly break encryption algorithms but instead exploits unintended information leaks, such as timing variations, power consumption, electromagnetic emissions, or memory access patterns. In the context of CWE-1240, this adversary targets weaknesses in cryptographic primitives that may expose key material or sensitive data through side channels.

For example, vulnerabilities like CVE-2019-1543, which exposed side-channel weaknesses in OpenSSL’s implementation of elliptic curve cryptography, could allow an attacker to infer private keys based on observed variations in computation time. Similarly, CVE-2020-14254 demonstrated flaws in a cryptographic algorithm's implementation that made it susceptible to timing attacks.","Cryptographic Keys, Sensitive Data
The primary asset at risk in this threat model is cryptographic keys used for encryption, authentication, or digital signatures. If an adversary can recover private keys, they can decrypt confidential communications, forge signatures, or impersonate legitimate users.

For instance, CVE-2019-1715 highlights a flaw where improper cryptographic implementation exposed encryption keys, making sensitive data vulnerable. Similarly, CVE-2021-34687 involved weak key generation, leading to exploitable cryptographic weaknesses.

Sensitive data can also be exposed through improper cryptographic padding or lack of side-channel resistance, as seen in CVE-2014-4192, where encryption padding vulnerabilities could lead to plaintext recovery.","Primary Input/Primary Output Interface, Debug Interface, Side-Channel Data
1. Primary Input/Output Interface: Cryptographic primitives often take in plaintext and output ciphertext, making these interfaces potential attack surfaces. Flaws in their design (e.g., lack of constant-time operations) can introduce vulnerabilities.
2. Debug Interface: If cryptographic functions are accessible through debugging interfaces (as in CVE-2005-2946, where an insecure debugging feature exposed sensitive cryptographic data), adversaries can extract critical information.
3. Side-Channel Data: Leaks through power analysis, timing variations, or electromagnetic emissions (as in CVE-2020-4778, a vulnerability in IBM Power processors where side-channel leaks could be exploited) allow attackers to reconstruct cryptographic keys.","Risky Cryptographic Implementation
A risky cryptographic implementation refers to flaws in the way cryptographic primitives are implemented, rather than issues in the algorithm itself. These can include:
1. Lack of side-channel resistance: Timing attacks (e.g., CVE-2017-9267), power analysis, or cache-based side channels.
2. Use of insecure cryptographic parameters: Weak key sizes, improper padding, or flawed randomness (e.g., CVE-2019-3907, where an RNG flaw led to predictable cryptographic outputs).
3. Failure to follow best practices: Using non-standard or outdated cryptographic techniques (e.g., CVE-2020-6616, which affected an implementation of RSA with an insecure padding scheme).","Side-Channel Attacks
The primary threat posed by risky cryptographic implementations is side-channel attacks, which allow adversaries to infer cryptographic secrets through unintended data leaks rather than directly breaking encryption algorithms. Examples include:
1. Timing Attacks: If the time taken for cryptographic operations varies based on input data, an attacker can infer secret keys (e.g., CVE-2017-7971, which exposed timing variations in key generation).
2. Cache Side-Channel Attacks: Exploiting CPU cache behavior to leak cryptographic keys (as seen in CVE-2020-14254).
3. Power Analysis Attacks: Measuring power consumption patterns to extract cryptographic operations (related to CAPEC-97: Cryptanalysis).",,,
